ES1 Index;SPY US Equity;SML Index;M1WO Index;ES2 Index;NQ1 Index
1535.36;146.438;195.31;2869.1;1336.71;4998.52
3012.18;286.188;382.7;5648.77;2622.3;9622.96
4490.83;426.188;570.88;8390.67;3909.46;14188.91
5959.54;563.938;757.9;11101.55;5187.860000000001;18494.87
7486.57;709.688;949.77;13876.609999999999;6503.120000000001;23125.16
9029.55;709.688;1145.3899999999999;16682.44;7846.02;28025.83
10550.83;854.188;1338.35;19478.69;9170.27;32673.02
12059.29;997.25;1530.35;22258.149999999998;10483.28;37227.270000000004
13585.54;1142.25;1728.05;25062.499999999996;11781.45;41964.16
